datetime,tempmax,tempmin,humidity,precip,windspeed,sealevelpressure,cloudcover,solarradiation
2015-06-08,29.4,13.7,75.4,10.9,28.8,1014.5,71.4,241.4
2015-06-09,29.4,13.3,68.1,1.8,14.4,1013.1,75.8,248.9
2015-06-10,30.9,13.4,70.9,4.5,25.2,1011.9,69.3,266.3
2015-06-11,30.4,14.4,80.7,15.4,21.6,1011.4,95.5,176.2
2015-06-12,26.4,13.2,83.2,12.6,46.8,1012.1,78.2,249.4
2015-06-13,22.9,12.2,88.2,13.2,25.2,1013.1,94.0,102.6
2015-06-14,24.9,13.3,81.1,2.8,28.8,1013.3,98.6,203.6
2015-06-15,29.7,11.7,72.8,0.6,25.2,1013.9,85.5,271.9
2015-06-16,30.2,13.3,75.0,7.1,28.8,1014.1,89.1,265.9
2015-06-17,29.4,13.7,81.0,22.4,28.8,1014.3,89.3,228.8
2015-06-18,28.9,14.5,80.3,28.9,28.8,1014.1,86.5,217.4
2015-06-19,27.7,12.4,74.7,7.7,54.0,1014.8,85.3,239.6
2015-06-20,29.2,14.0,83.5,12.1,7.2,1017.8,80.3,259.9
2015-06-21,24.2,13.1,78.6,12.5,7.2,1017.5,83.7,251.0
2015-06-22,29.9,13.3,73.2,2.6,36.0,1017.0,76.6,284.6
2015-06-23,28.9,11.5,64.7,1.2,32.4,1016.6,54.3,290.3
2015-06-24,27.2,10.8,68.3,0.4,68.4,1017.1,64.5,300.1
2015-06-25,29.6,11.0,68.9,1.4,46.8,1017.9,50.4,292.0
2015-06-26,30.7,11.9,73.8,2.1,21.6,1017.5,46.3,295.2
2015-06-27,27.4,13.3,80.1,12.7,14.4,1017.3,77.8,238.2
2015-06-28,23.0,12.5,85.2,32.2,7.9,1017.7,88.9,204.4
2015-06-29,28.9,13.2,84.0,15.8,72.0,1017.3,89.8,189.3
2015-06-30,27.4,12.4,85.5,19.5,10.8,1016.8,88.4,204.8
2016-06-01,29.2,13.8,81.8,8.9,7.2,1014.1,81.0,255.4
2016-06-02,27.4,14.8,84.6,12.3,7.2,1015.1,86.0,211.6
2016-06-03,29.9,13.5,82.8,23.0,10.8,1014.1,85.6,240.7
2016-06-04,27.4,14.1,85.8,24.0,7.2,1012.9,80.3,192.8
2016-06-05,27.7,12.7,81.5,23.5,6.5,1012.2,92.7,198.9
2016-06-06,22.4,12.8,91.3,18.7,7.2,1014.1,96.7,109.0
2016-06-07,29.6,12.8,83.7,10.6,7.6,1014.7,80.6,238.8
2016-06-08,28.9,13.4,77.3,1.8,9.4,1015.1,75.0,271.0
2016-06-09,27.2,14.0,83.1,7.0,5.8,1016.4,86.5,246.7
2016-06-10,28.7,14.5,85.1,14.4,14.4,1016.5,87.7,188.1
2016-06-11,28.2,14.5,86.6,30.2,9.0,1017.2,96.4,159.1
2016-06-12,27.4,13.2,84.1,17.8,7.2,1018.6,94.3,194.1
2016-06-13,25.2,13.2,87.6,28.5,8.3,1018.2,96.3,191.8
2016-06-14,26.2,13.7,87.5,18.1,7.2,1016.6,93.0,172.6
2016-06-15,29.2,13.2,83.6,7.7,11.5,1016.8,92.8,216.5
2016-06-16,27.2,13.9,84.7,8.7,10.8,1017.6,95.7,225.7
2016-06-17,28.7,14.5,80.9,14.4,7.2,1016.9,83.8,256.4
2016-06-18,27.4,12.5,84.3,12.8,7.2,1015.6,89.4,225.3
2016-06-19,26.7,11.7,76.9,5.5,10.8,1015.5,70.3,239.3
2016-06-20,26.2,14.0,87.9,22.9,7.6,1017.1,95.8,176.3
2016-06-21,22.9,13.7,88.5,18.9,7.2,1017.3,97.7,145.1
2016-06-22,25.7,11.7,73.5,9.9,14.4,1016.9,72.7,269.4
2016-06-23,28.7,11.4,74.9,3.1,6.5,1017.5,75.3,244.4
2016-06-24,25.1,12.0,82.4,10.7,7.2,1017.1,81.7,236.5
2016-06-25,26.7,13.3,86.7,15.1,14.4,1016.5,77.5,210.5
2016-06-26,28.7,13.8,78.9,8.6,10.8,1015.9,76.2,257.6
2016-06-27,27.9,12.8,74.2,5.3,10.8,1015.9,76.0,283.5
2016-06-28,27.4,10.9,71.3,1.0,14.4,1016.0,43.8,283.9
2016-06-29,27.4,11.1,76.3,10.0,7.2,1016.0,75.6,227.5
2016-06-30,28.2,12.4,79.6,9.6,7.2,1016.4,89.2,230.5
2017-06-01,26.9,13.7,85.7,11.4,10.8,1012.9,98.3,91.7
2017-06-02,29.4,12.7,78.6,5.9,7.6,1012.6,97.7,219.6
2017-06-03,29.1,14.8,79.9,1.1,6.8,1013.1,92.2,176.2
2017-06-04,30.4,14.7,77.8,7.3,10.8,1012.6,82.6,223.6
2017-06-05,28.9,14.8,80.5,9.3,5.8,1013.6,90.9,229.7
2017-06-06,30.7,15.2,81.3,11.0,10.8,1014.3,89.6,207.5
2017-06-07,28.2,13.6,80.8,9.4,6.1,1015.3,86.5,250.9
2017-06-08,26.7,14.4,83.4,26.2,14.4,1015.5,92.9,158.3
2017-06-09,30.2,13.4,79.6,11.6,10.8,1013.9,92.1,225.7
2017-06-10,27.9,14.3,83.2,10.8,10.8,1014.2,90.9,198.2
2017-06-11,28.6,14.7,84.5,20.1,5.4,1014.6,93.3,171.2
2017-06-12,28.9,14.2,81.7,20.6,7.2,1013.1,95.8,187.3
2017-06-13,27.9,14.2,87.0,44.3,7.2,1011.6,97.3,90.7
2017-06-14,27.9,14.1,86.1,19.6,10.8,1013.1,94.9,112.2
2017-06-15,26.2,13.5,83.5,41.3,6.1,1015.2,94.8,163.1
2017-06-16,29.1,12.8,81.7,8.4,5.8,1015.7,82.9,233.5
2017-06-17,29.4,12.6,79.0,3.2,7.2,1012.8,88.2,217.1
2017-06-18,28.6,13.2,80.7,15.8,5.0,1011.4,86.3,233.6
2017-06-19,27.2,13.7,82.5,19.7,14.4,1012.0,92.2,199.9
2017-06-20,29.2,12.4,76.5,15.3,7.2,1012.8,85.2,209.6
2017-06-21,27.4,11.3,70.9,1.7,7.2,1012.8,74.9,241.7
2017-06-22,28.7,13.6,79.0,17.6,6.1,1013.0,83.1,203.9
2017-06-23,29.7,12.9,80.9,12.1,5.8,1012.5,84.6,202.2
2017-06-24,29.9,13.7,80.3,18.6,14.4,1014.4,93.2,169.4
2017-06-25,28.7,13.8,82.7,18.2,14.4,1016.7,95.4,203.7
2017-06-26,26.6,12.2,87.4,15.5,43.2,1017.5,95.3,198.3
2017-06-27,27.1,13.6,85.4,18.2,6.8,1016.4,95.0,199.9
2017-06-28,24.9,13.4,88.2,17.9,6.1,1015.5,95.7,186.7
2017-06-29,27.4,13.6,85.0,7.4,5.8,1015.3,91.9,201.8
2017-06-30,25.2,14.5,92.2,25.7,6.5,1016.1,98.2,147.3
2018-06-01,33.1,13.6,68.5,2.6,10.8,1012.5,48.7,289.0
2018-06-02,28.9,12.7,67.7,3.2,7.2,1013.2,70.1,268.4
2018-06-03,30.2,12.2,66.9,2.0,14.4,1015.2,40.2,263.1
2018-06-04,30.9,11.1,68.8,1.5,10.8,1016.0,52.7,259.6
2018-06-05,32.4,12.3,80.6,4.9,9.4,1015.2,80.4,222.9
2018-06-06,29.9,14.0,85.3,7.7,7.2,1013.0,95.3,213.4
2018-06-07,27.9,13.8,89.4,25.7,7.2,1014.1,91.4,197.5
2018-06-08,29.1,14.1,79.3,7.2,10.8,1014.5,83.5,205.2
2018-06-09,28.7,13.0,78.5,20.9,10.8,1015.7,85.3,190.3
2018-06-10,29.1,13.0,80.9,13.8,7.2,1015.3,91.7,200.2
2018-06-11,29.9,13.5,86.2,9.3,7.6,1014.6,95.4,190.1
2018-06-12,26.2,14.9,88.4,12.8,14.4,1014.7,98.5,171.0
2018-06-13,28.1,13.6,89.6,17.8,4.7,1015.5,97.8,153.8
2018-06-14,26.4,13.3,89.5,12.5,11.5,1015.5,96.6,106.8
2018-06-15,25.2,13.4,88.9,10.6,6.1,1014.5,95.0,116.0
2018-06-16,23.9,13.9,91.2,23.9,7.9,1013.3,96.5,156.5
2018-06-17,25.7,13.5,91.6,58.1,7.2,1015.2,97.9,60.7
2018-06-18,23.2,13.9,85.7,23.3,12.6,1016.6,97.5,192.6
2018-06-19,28.9,12.3,78.1,0.6,11.5,1015.9,91.8,268.3
2018-06-20,27.9,11.5,73.5,0.0,10.8,1015.2,88.7,308.9
2018-06-21,26.9,13.4,78.8,0.9,21.6,1015.1,88.0,253.6
